,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Confirmed
2975,1.07,1.06,0.89,0.94,1.0,1232.0,0.9,-24.19,2.02,1.12,0.0191,0.0,0.02,0.0,0.74,0.7,4612.0,0.198904,19.7736,44.1293,-33.6,19.6577,1.0,0.0,0.355,0.873,-2.3,-0.17,-1.18,0.28,0.3,0.0,0.0,1.0
2976,17.93,2.28,1.5,3.43,2.8,855.4,26.9,-24.26,4.34,15.19,0.1257,0.0,0.13,0.0,1.15,1.24,6177.0,2.00837,19.641,40.8332,-32.0,5.2582,1.0,0.0,1.038,2.423,-2.32,-0.12,0.12,0.3,0.25,0.0,0.0,1.0
2977,4.92,2.93,0.19,0.57,1.29,609.6,1.0,-23.33,5.58,28.69,0.1852,0.0,0.19,0.0,1.03,1.04,5834.0,1.124145,19.486,44.6533,-30.5,2.9935,1.0,0.0,0.793,1.866,-2.13,2.52,-0.72,0.23,0.25,0.0,0.0,1.0
2978,1.07,1.06,0.89,0.94,1.0,1299.5,0.9,-24.42,2.02,0.59,0.0118,0.0,0.01,0.0,0.64,0.61,4105.0,0.094799,19.5182,44.1781,-33.8,27.7385,1.0,0.0,0.249,0.627,-2.25,-0.17,-1.19,0.28,0.29,0.0,0.0,1.0
2979,5.53,3.05,0.2,0.6,1.35,420.5,1.1,-21.79,5.79,85.74,0.3842,0.0,0.38,0.0,1.03,1.03,5825.0,1.095842,19.2961,42.4981,-28.9,1.4287,1.0,0.0,0.783,1.843,-1.75,2.55,-0.46,0.24,0.35,0.0,0.0,1.0
2980,2.81,1.41,1.0,1.41,1.41,1488.4,2.8,-25.63,2.68,1.08,0.0194,0.0,0.02,0.0,0.84,0.81,5226.0,0.439074,19.352,41.515,-34.4,22.3762,1.0,0.0,0.513,1.23,-2.38,-0.16,-1.02,0.28,0.28,0.0,0.0,1.0
2981,4.77,1.64,1.09,1.78,1.71,1294.2,5.2,-25.34,3.11,1.22,0.0207,0.0,0.02,0.0,0.8,0.75,4877.0,0.285511,19.7292,49.7911,-33.8,19.3968,1.0,0.0,0.421,1.023,-2.33,-0.15,-0.81,0.29,0.27,0.0,0.0,1.0
2982,4.65,1.62,1.09,1.76,1.69,794.0,5.1,-23.19,3.09,13.68,0.1141,0.0,0.11,0.0,1.06,1.06,5909.0,1.229016,19.6709,49.359,-31.7,4.9512,1.0,0.0,0.825,1.938,-2.28,-0.15,-0.57,0.3,0.29,0.0,0.0,1.0
2983,19.11,2.32,1.53,3.55,2.87,639.7,29.3,-23.03,4.41,11.09,0.0903,0.0,0.09,0.0,0.8,0.76,5001.0,0.324149,19.4588,44.5557,-30.7,4.4863,1.0,0.0,0.446,1.078,-2.13,-0.12,0.46,0.31,0.27,0.0,0.0,1.0
2984,3.59,1.51,1.04,1.57,1.54,756.1,3.7,-22.82,2.87,25.37,0.181,0.0,0.18,0.0,1.23,1.38,6210.0,2.541058,19.1723,49.1548,-31.5,4.0639,1.0,0.0,1.165,2.718,-2.27,-0.15,-0.65,0.3,0.3,0.0,0.0,1.0
2985,5.54,1.7,1.12,1.91,1.8,848.0,6.2,-23.58,3.24,8.07,0.0771,0.0,0.08,0.0,0.94,0.92,5568.0,0.729898,19.5221,48.2194,-32.0,6.3605,1.0,0.0,0.649,1.539,-2.29,-0.15,-0.53,0.3,0.28,0.0,0.0,1.0
2986,3.1,2.54,0.19,0.48,1.11,788.9,0.6,-24.14,4.83,11.02,0.0956,0.0,0.1,0.0,0.96,0.94,5705.0,0.839785,19.0481,40.857,-31.7,5.2432,1.0,0.0,0.691,1.631,-2.27,2.41,-0.97,0.22,0.24,0.0,0.0,1.0
2987,13.55,2.14,1.38,2.96,2.52,857.5,18.8,-24.13,4.07,12.94,0.1113,0.0,0.11,0.0,1.1,1.15,6051.0,1.590721,19.7902,50.0374,-32.0,5.5068,1.0,0.0,0.931,2.179,-2.31,-0.13,-0.07,0.3,0.26,0.0,0.0,1.0
2988,1.54,1.19,0.92,1.1,1.14,1173.5,1.4,-24.21,2.26,5.35,0.0625,0.0,0.06,0.0,1.14,1.21,6050.0,1.759876,19.2991,50.9442,-33.4,10.3275,1.0,0.0,0.979,2.292,-2.4,-0.17,-1.09,0.27,0.29,0.0,0.0,1.0
2989,20.8,2.36,1.58,3.72,2.97,558.6,32.8,-22.48,4.49,18.83,0.1312,0.0,0.13,0.0,0.85,0.8,5130.0,0.397685,19.0095,49.8007,-30.2,3.2507,1.0,0.0,0.491,1.181,-2.04,-0.12,0.7,0.32,0.29,0.0,0.0,1.0
2990,1.7,1.22,0.93,1.14,1.18,1023.1,1.6,-23.68,2.32,4.77,0.0545,0.0,0.05,0.0,0.95,0.93,5616.0,0.771906,19.8309,48.1814,-32.8,9.1064,1.0,0.0,0.666,1.576,-2.34,-0.17,-1.02,0.28,0.29,0.0,0.0,1.0
2991,2.65,1.39,0.99,1.38,1.38,1098.0,2.6,-24.27,2.64,4.37,0.0521,0.0,0.05,0.0,0.99,0.98,5743.0,0.93734,19.1604,45.918,-33.1,10.0317,1.0,0.0,0.728,1.717,-2.37,-0.16,-0.92,0.28,0.29,0.0,0.0,1.0
2992,10.17,1.99,1.28,2.56,2.26,1512.4,13.1,-26.45,3.79,2.03,0.032,0.0,0.03,0.0,1.06,1.08,5905.0,1.27238,19.2791,50.9376,-34.5,18.0554,1.0,0.0,0.84,1.973,-2.43,-0.13,-0.61,0.29,0.26,0.0,0.0,1.0
